Position,Track Name,Artist,Streams,date,region,spotify_id
14,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1237,2017-02-17,ni,6stYbAJgTszHAHZMPxWWCY
15,Vacaciones,Wisin,1221,2017-02-17,ni,3dQDid3IUNhZy1OehIfYfE
16,Starboy,The Weeknd,1212,2017-02-17,ni,5aAx2yezTd8zXrkmtKl66Z
17,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1184,2017-02-17,ni,5q2JbCNi4FcnglgPfxcV65
18,I Feel It Coming,The Weeknd,1164,2017-02-17,ni,5GXAXm5YOmYT0kL5jHvYBt
19,It Ain't Me (with Selena Gomez),Kygo,1164,2017-02-17,ni,3eR23VReFzcdmS7TYCrhCe
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1153,2017-02-17,ni,5knuzwU65gJK7IF5yJsuaW
21,Don't Wanna Know,Maroon 5,1152,2017-02-17,ni,5MFzQMkrl1FOOng9tq6R9r
22,One Dance,Drake,1145,2017-02-17,ni,1xznGGDReH1oQq0xzbwXa3
23,Dile Que Tu Me Quieres,Ozuna,1134,2017-02-17,ni,20ZAJdsKB5IGbGj4ilRt2o
24,Chained To The Rhythm,Katy Perry,1086,2017-02-17,ni,6520aj0B4FSKGVuKNsOCOi
25,In the Name of Love,Martin Garrix,1068,2017-02-17,ni,04DwTuZ2VBdJCCC5TROn7L
26,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1043,2017-02-17,ni,17Fd6Yb7mSbinKG8LoWfFl
27,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1013,2017-02-17,ni,6DNtNfH8hXkqOX1sjqmI7p
28,My Way,Calvin Harris,1006,2017-02-17,ni,1vvNmPOiUuyCbgWmtc6yfm
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,5847,2017-02-24,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,3803,2017-02-24,ni,7qiZfU4dY1lWllzX7mPBI3
3,El Amante,Nicky Jam,2267,2017-02-24,ni,3umS4y3uQDkqekNjVpiRUs
4,Reggaetón Lento (Bailemos),CNCO,2237,2017-02-24,ni,3AEZUABDXNtecAOSC1qTfo
5,Otra vez (feat. J Balvin),Zion & Lennox,1965,2017-02-24,ni,3QwBODjSEzelZyVjxPOHdq
6,Chantaje (feat. Maluma),Shakira,1911,2017-02-24,ni,6mICuAdrwEjh6Y6lroV2Kg
7,Safari,J Balvin,1838,2017-02-24,ni,6rQSrBHf7HlZjtcMZ4S4bO
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1796,2017-02-24,ni,3NdDpSvN911VPGivFlV5d0
9,It Ain't Me (with Selena Gomez),Kygo,1708,2017-02-24,ni,3eR23VReFzcdmS7TYCrhCe
10,Something Just Like This,The Chainsmokers,1704,2017-02-24,ni,6RUKPb4LETWmmr3iAEQktW
11,Let Me Love You,DJ Snake,1680,2017-02-24,ni,4pdPtRcBmOSQDlJ3Fk945m
12,Paris,The Chainsmokers,1644,2017-02-24,ni,72jbDTw1piOOj770jWNeaG
13,Me Rehúso,Danny Ocean,1595,2017-02-24,ni,6De0lHrwBfPfrhorm9q1Xl
14,Closer (feat. Halsey),The Chainsmokers,1575,2017-02-24,ni,7BKLCZ1jbUBVqRi2FVlTVw
15,Vacaciones,Wisin,1342,2017-02-24,ni,3dQDid3IUNhZy1OehIfYfE
16,Vente Pa' Ca,Ricky Martin,1332,2017-02-24,ni,7DM4BPaS7uofFul3ywMe46
17,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1294,2017-02-24,ni,6stYbAJgTszHAHZMPxWWCY
18,Chained To The Rhythm,Katy Perry,1214,2017-02-24,ni,6520aj0B4FSKGVuKNsOCOi
19,I Feel It Coming,The Weeknd,1207,2017-02-24,ni,5GXAXm5YOmYT0kL5jHvYBt
20,Starboy,The Weeknd,1200,2017-02-24,ni,5aAx2yezTd8zXrkmtKl66Z
21,Scared to Be Lonely,Martin Garrix,1194,2017-02-24,ni,3ebXMykcMXOcLeJ9xZ17XH
22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1176,2017-02-24,ni,5knuzwU65gJK7IF5yJsuaW
23,One Dance,Drake,1160,2017-02-24,ni,1xznGGDReH1oQq0xzbwXa3
24,La Bicicleta,Carlos Vives,1149,2017-02-24,ni,0sXvAOmXgjR2QUqLK1MltU
25,Don't Wanna Know,Maroon 5,1146,2017-02-24,ni,5MFzQMkrl1FOOng9tq6R9r
26,Dile Que Tu Me Quieres,Ozuna,1094,2017-02-24,ni,20ZAJdsKB5IGbGj4ilRt2o
27,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1056,2017-02-24,ni,5q2JbCNi4FcnglgPfxcV65
28,In the Name of Love,Martin Garrix,1055,2017-02-24,ni,04DwTuZ2VBdJCCC5TROn7L
29,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1044,2017-02-24,ni,17Fd6Yb7mSbinKG8LoWfFl
30,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1009,2017-02-24,ni,6DNtNfH8hXkqOX1sjqmI7p
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,5463,2017-03-03,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,3999,2017-03-03,ni,7qiZfU4dY1lWllzX7mPBI3
3,El Amante,Nicky Jam,2169,2017-03-03,ni,3umS4y3uQDkqekNjVpiRUs
4,Reggaetón Lento (Bailemos),CNCO,2111,2017-03-03,ni,3AEZUABDXNtecAOSC1qTfo
5,Me Rehúso,Danny Ocean,1905,2017-03-03,ni,6De0lHrwBfPfrhorm9q1Xl
6,Otra vez (feat. J Balvin),Zion & Lennox,1866,2017-03-03,ni,3QwBODjSEzelZyVjxPOHdq
7,Something Just Like This,The Chainsmokers,1789,2017-03-03,ni,6RUKPb4LETWmmr3iAEQktW
