Position,Track Name,Artist,Streams,date,region,spotify_id
27,Closer (feat. Halsey),The Chainsmokers,1074,2017-02-17,mt,7BKLCZ1jbUBVqRi2FVlTVw
28,Hear Me Now,Alok,1020,2017-02-17,mt,1a5Yu5L18qNxVhXx38njON
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4496,2017-02-24,mt,7qiZfU4dY1lWllzX7mPBI3
2,Something Just Like This,The Chainsmokers,4047,2017-02-24,mt,6RUKPb4LETWmmr3iAEQktW
3,It Ain't Me (with Selena Gomez),Kygo,3203,2017-02-24,mt,3eR23VReFzcdmS7TYCrhCe
4,Paris,The Chainsmokers,2777,2017-02-24,mt,72jbDTw1piOOj770jWNeaG
5,Scared to Be Lonely,Martin Garrix,2645,2017-02-24,mt,3ebXMykcMXOcLeJ9xZ17XH
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2611,2017-02-24,mt,3NdDpSvN911VPGivFlV5d0
7,Chained To The Rhythm,Katy Perry,2291,2017-02-24,mt,6520aj0B4FSKGVuKNsOCOi
8,Castle on the Hill,Ed Sheeran,1919,2017-02-24,mt,6PCUP3dWmTjcTtXY02oFdT
9,Believer,Imagine Dragons,1806,2017-02-24,mt,0CcQNd8CINkwQfe1RDtGV6
10,Issues,Julia Michaels,1804,2017-02-24,mt,1sXUWdKx03aP9Gmzft58rt
11,Call On Me - Ryan Riback Extended Remix,Starley,1793,2017-02-24,mt,78rIJddV4X0HkNAInEcYde
12,Cold,Maroon 5,1786,2017-02-24,mt,5NNlUMcOEOdoOIwwaWXv0k
13,I Feel It Coming,The Weeknd,1726,2017-02-24,mt,5GXAXm5YOmYT0kL5jHvYBt
14,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1429,2017-02-24,mt,5knuzwU65gJK7IF5yJsuaW
15,Just Hold On,Steve Aoki,1381,2017-02-24,mt,3EmmCZoqpWOTY1g2GBwJoR
16,Say You Won't Let Go,James Arthur,1357,2017-02-24,mt,5uCax9HTNlzGybIStD3vDh
17,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1300,2017-02-24,mt,0fg8CqpjdojMyXLNzM2PaJ
18,Solo Dance,Martin Jensen,1289,2017-02-24,mt,6HUnnBwYZqcED1eQztxMBN
19,Despacito (Featuring Daddy Yankee),Luis Fonsi,1288,2017-02-24,mt,4aWmUDTfIPGksMNLV2rQP2
20,Starboy,The Weeknd,1281,2017-02-24,mt,5aAx2yezTd8zXrkmtKl66Z
21,That's What I Like,Bruno Mars,1255,2017-02-24,mt,0KKkJNfGyhkQ5aFogxQAPU
22,All Night,The Vamps,1237,2017-02-24,mt,1yNyoWWWikbLhwIGWjZuDW
23,Weak,AJR,1234,2017-02-24,mt,3E2Zh20GDCR9B1EYjfXWyv
24,"How Far I'll Go - From ""Moana""",Alessia Cara,1214,2017-02-24,mt,5hYTyyh2odQKphUbMqc5gN
25,You Don't Know Me - Radio Edit,Jax Jones,1205,2017-02-24,mt,00lNx0OcTJrS3MKHcB80HY
26,Love,Lana Del Rey,1191,2017-02-24,mt,0n2bvWvMwr0gbjcuTm92eW
27,All Time Low,Jon Bellion,1190,2017-02-24,mt,1CnPYaKxTVb4LWOtiGOm0m
28,Closer (feat. Halsey),The Chainsmokers,1136,2017-02-24,mt,7BKLCZ1jbUBVqRi2FVlTVw
29,Bad Things (with Camila Cabello),Machine Gun Kelly,1135,2017-02-24,mt,1PSBzsahR2AKwLJgx8ehBj
30,Shed a Light,Robin Schulz,1131,2017-02-24,mt,1cG0umU5TKStygKsPFZ9pY
31,Don't Leave,Snakehips,1095,2017-02-24,mt,0Zx8khUcEfCFK2AEoIhC92
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,5454,2017-03-03,mt,7qiZfU4dY1lWllzX7mPBI3
2,Something Just Like This,The Chainsmokers,4245,2017-03-03,mt,6RUKPb4LETWmmr3iAEQktW
3,It Ain't Me (with Selena Gomez),Kygo,3087,2017-03-03,mt,3eR23VReFzcdmS7TYCrhCe
4,Castle on the Hill,Ed Sheeran,2849,2017-03-03,mt,6PCUP3dWmTjcTtXY02oFdT
5,Paris,The Chainsmokers,2625,2017-03-03,mt,72jbDTw1piOOj770jWNeaG
6,Scared to Be Lonely,Martin Garrix,2443,2017-03-03,mt,3ebXMykcMXOcLeJ9xZ17XH
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2357,2017-03-03,mt,3NdDpSvN911VPGivFlV5d0
8,Chained To The Rhythm,Katy Perry,2199,2017-03-03,mt,6520aj0B4FSKGVuKNsOCOi
9,What Do I Know?,Ed Sheeran,2060,2017-03-03,mt,2pJZ1v8HezrAoZ0Fhzby92
10,Perfect,Ed Sheeran,1838,2017-03-03,mt,0tgVpDi06FyKpA1z0VMD4v
11,Galway Girl,Ed Sheeran,1812,2017-03-03,mt,0afhq8XCExXpqazXczTSve
12,Eraser,Ed Sheeran,1806,2017-03-03,mt,7oolFzHipTMg2nL7shhdz2
13,Cold,Maroon 5,1801,2017-03-03,mt,5NNlUMcOEOdoOIwwaWXv0k
14,Issues,Julia Michaels,1752,2017-03-03,mt,1sXUWdKx03aP9Gmzft58rt
15,Dive,Ed Sheeran,1738,2017-03-03,mt,51ChrwmUPDJvedPQnIU8Ls
16,New Man,Ed Sheeran,1735,2017-03-03,mt,5HDPtsnyb3maFmPL8LLUTG
17,Happier,Ed Sheeran,1667,2017-03-03,mt,2RttW7RAu5nOAfq6YFvApB
18,That's What I Like,Bruno Mars,1660,2017-03-03,mt,0KKkJNfGyhkQ5aFogxQAPU
19,Believer,Imagine Dragons,1653,2017-03-03,mt,0CcQNd8CINkwQfe1RDtGV6
20,Stay (with Alessia Cara),Zedd,1583,2017-03-03,mt,0dA2Mk56wEzDgegdC6R17g
21,Despacito (Featuring Daddy Yankee),Luis Fonsi,1566,2017-03-03,mt,4aWmUDTfIPGksMNLV2rQP2
22,How Would You Feel (Paean),Ed Sheeran,1554,2017-03-03,mt,6PJ8FF6UR8FZXfEvpHkIVN
23,Call On Me - Ryan Riback Extended Remix,Starley,1527,2017-03-03,mt,78rIJddV4X0HkNAInEcYde
24,I Feel It Coming,The Weeknd,1520,2017-03-03,mt,5GXAXm5YOmYT0kL5jHvYBt
25,Hearts Don't Break Around Here,Ed Sheeran,1459,2017-03-03,mt,2dfHh7ECGxfNqZTQno09Vk
26,Green Light,Lorde,1431,2017-03-03,mt,0gbBzIqrECJOEPvQJIBFs5
27,Slide (feat. Frank Ocean & Migos),Calvin Harris,1385,2017-03-03,mt,7tr2za8SQg2CI8EDgrdtNl
28,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1361,2017-03-03,mt,5knuzwU65gJK7IF5yJsuaW
29,Barcelona,Ed Sheeran,1343,2017-03-03,mt,3Lfiu5sZ4M4B6JaKMBc0FU
30,Supermarket Flowers,Ed Sheeran,1324,2017-03-03,mt,4VuS959DSpr82t3qBqCrWG
31,You Don't Know Me - Radio Edit,Jax Jones,1312,2017-03-03,mt,00lNx0OcTJrS3MKHcB80HY
32,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1257,2017-03-03,mt,0fg8CqpjdojMyXLNzM2PaJ
33,Bibia Be Ye Ye,Ed Sheeran,1246,2017-03-03,mt,6SznMYPQJHzr3IwsAHLId2
34,Solo Dance,Martin Jensen,1245,2017-03-03,mt,6HUnnBwYZqcED1eQztxMBN
35,Say You Won't Let Go,James Arthur,1244,2017-03-03,mt,5uCax9HTNlzGybIStD3vDh
36,Just Hold On,Steve Aoki,1214,2017-03-03,mt,3EmmCZoqpWOTY1g2GBwJoR
37,All Night,The Vamps,1183,2017-03-03,mt,1yNyoWWWikbLhwIGWjZuDW
38,Nancy Mulligan,Ed Sheeran,1182,2017-03-03,mt,35QZaWQRkmnAVqBF1TLCxQ
39,"How Far I'll Go - From ""Moana""",Alessia Cara,1132,2017-03-03,mt,5hYTyyh2odQKphUbMqc5gN
40,Save Myself,Ed Sheeran,1129,2017-03-03,mt,6TIU9Ehmi6dMzZK73Ym4yj
41,Starboy,The Weeknd,1119,2017-03-03,mt,5aAx2yezTd8zXrkmtKl66Z
42,All Time Low,Jon Bellion,1118,2017-03-03,mt,1CnPYaKxTVb4LWOtiGOm0m
43,Bad Things (with Camila Cabello),Machine Gun Kelly,1079,2017-03-03,mt,1PSBzsahR2AKwLJgx8ehBj
44,Shed a Light,Robin Schulz,1077,2017-03-03,mt,1cG0umU5TKStygKsPFZ9pY
45,Weak,AJR,1073,2017-03-03,mt,3E2Zh20GDCR9B1EYjfXWyv
