Position,Track Name,Artist,Streams,date,region,spotify_id
14,Cold,Maroon 5,1200,2017-03-17,lu,5NNlUMcOEOdoOIwwaWXv0k
15,Chained To The Rhythm,Katy Perry,1174,2017-03-17,lu,6520aj0B4FSKGVuKNsOCOi
16,I Feel It Coming,The Weeknd,1154,2017-03-17,lu,5GXAXm5YOmYT0kL5jHvYBt
17,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1137,2017-03-17,lu,0fg8CqpjdojMyXLNzM2PaJ
18,Slide (feat. Frank Ocean & Migos),Calvin Harris,1117,2017-03-17,lu,7tr2za8SQg2CI8EDgrdtNl
19,Believer,Imagine Dragons,1106,2017-03-17,lu,0CcQNd8CINkwQfe1RDtGV6
20,That's What I Like,Bruno Mars,1104,2017-03-17,lu,0KKkJNfGyhkQ5aFogxQAPU
21,Solo Dance,Martin Jensen,1098,2017-03-17,lu,6HUnnBwYZqcED1eQztxMBN
22,You Don't Know Me - Radio Edit,Jax Jones,1076,2017-03-17,lu,00lNx0OcTJrS3MKHcB80HY
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3719,2017-03-24,lu,7qiZfU4dY1lWllzX7mPBI3
2,It Ain't Me (with Selena Gomez),Kygo,1971,2017-03-24,lu,3eR23VReFzcdmS7TYCrhCe
3,Passionfruit,Drake,1834,2017-03-24,lu,7hDc8b7IXETo14hHIHdnhd
4,Something Just Like This,The Chainsmokers,1829,2017-03-24,lu,6RUKPb4LETWmmr3iAEQktW
5,Galway Girl,Ed Sheeran,1763,2017-03-24,lu,0afhq8XCExXpqazXczTSve
6,Despacito (Featuring Daddy Yankee),Luis Fonsi,1751,2017-03-24,lu,4aWmUDTfIPGksMNLV2rQP2
7,Mask Off,Future,1617,2017-03-24,lu,3rOSwuTsUlJp0Pu0MkN8r8
8,Paris,The Chainsmokers,1542,2017-03-24,lu,72jbDTw1piOOj770jWNeaG
9,Stay (with Alessia Cara),Zedd,1536,2017-03-24,lu,0dA2Mk56wEzDgegdC6R17g
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1478,2017-03-24,lu,3NdDpSvN911VPGivFlV5d0
11,Scared to Be Lonely,Martin Garrix,1362,2017-03-24,lu,3ebXMykcMXOcLeJ9xZ17XH
12,Issues,Julia Michaels,1319,2017-03-24,lu,1sXUWdKx03aP9Gmzft58rt
13,Castle on the Hill,Ed Sheeran,1314,2017-03-24,lu,6PCUP3dWmTjcTtXY02oFdT
14,Call On Me - Ryan Riback Extended Remix,Starley,1229,2017-03-24,lu,78rIJddV4X0HkNAInEcYde
15,Portland,Drake,1222,2017-03-24,lu,2bjwRfXMk4uRgOD9IBYl9h
