Position,Track Name,Artist,Streams,date,region,spotify_id
25,My Way,Calvin Harris,4075,2017-01-13,py,1vvNmPOiUuyCbgWmtc6yfm
26,In the Name of Love,Martin Garrix,4055,2017-01-13,py,04DwTuZ2VBdJCCC5TROn7L
27,Shaky Shaky,Daddy Yankee,3878,2017-01-13,py,58IL315gMSTD37DOZPJ2hf
28,24K Magic,Bruno Mars,3869,2017-01-13,py,6b8Be6ljOzmkOmFslEb23P
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer,3806,2017-01-13,py,6DNtNfH8hXkqOX1sjqmI7p
30,Borro Cassette,Maluma,3734,2017-01-13,py,6DUdDIRgLqCGq1DwkNWQTN
31,Don't Let Me Down,The Chainsmokers,3538,2017-01-13,py,0QsvXIfqM0zZoerQfsI9lm
32,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,3523,2017-01-13,py,2SSYqDX8KTgy01NlqtUo0F
33,One Dance,Drake,3461,2017-01-13,py,1xznGGDReH1oQq0xzbwXa3
34,Andas En Mi Cabeza,Chino & Nacho,3398,2017-01-13,py,5mey7CLLuFToM2P68Qu1gF
35,Bobo,J Balvin,3292,2017-01-13,py,7AtlMCIauSQZqiXSlbBPW6
36,Side To Side,Ariana Grande,3274,2017-01-13,py,4pLwZjInHj3SimIyN9SnOz
37,La Bicicleta,Carlos Vives,3201,2017-01-13,py,0sXvAOmXgjR2QUqLK1MltU
38,El Perdedor - The Remix,Maluma,3196,2017-01-13,py,4QsPTKvdpgkA7mBAvclZTa
39,Heathens,Twenty One Pilots,3195,2017-01-13,py,6i0V12jOa3mr6uu4WYhUBr
40,El Sistema Solar (En Vivo),Kchiporros,3177,2017-01-13,py,2Tw6DIblvFifUcmAApNYT3
41,Treat You Better,Shawn Mendes,3174,2017-01-13,py,4Hf7WnR761jpxPr5D46Bcd
42,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,3121,2017-01-13,py,17Fd6Yb7mSbinKG8LoWfFl
43,Me llamas,Piso 21,3019,2017-01-13,py,3jpqMaJREkmVDYlRvW1qWC
44,Ride,Twenty One Pilots,2989,2017-01-13,py,2Z8WuEywRWYTKe1NybPQEW
45,Cheap Thrills,Sia,2971,2017-01-13,py,27SdWb2rFzO6GWiYDBTD9j
46,Encantadora - Remix,Yandel,2899,2017-01-13,py,0EpFfFZpCuqYFzHvxOtrZS
47,Faded,Alan Walker,2758,2017-01-13,py,7gHs73wELdeycvS48JfIos
48,Castle on the Hill,Ed Sheeran,2723,2017-01-13,py,6PCUP3dWmTjcTtXY02oFdT
49,Embriágame (feat. Don Omar) - Remix,Zion & Lennox,2709,2017-01-13,py,1WOJTQfNUEkLlsinPP95VM
50,Gyal You A Party Animal,Charly Black,2649,2017-01-13,py,1mSzZKMIPZIkn3jFV7v62b
51,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,2323,2017-01-13,py,5q2JbCNi4FcnglgPfxcV65
52,Si me dices que sí (feat. Nicky Jam),Cosculluela,2203,2017-01-13,py,3noN1TxpjbjjmKqssghvg8
53,Mi tesoro (feat. Nicky Jam),Zion & Lennox,2166,2017-01-13,py,5HABnFSYvl6mTmg8nSdzHa
54,Hear Me Now,Alok,2144,2017-01-13,py,1a5Yu5L18qNxVhXx38njON
55,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,2102,2017-01-13,py,2FrnTVSHjgnEylKGdHRUK1
56,Muchachita,Bonny Lovy,2068,2017-01-13,py,0B38YZydPDJz9N4uR9hULg
57,Chillax (feat. Ky-Mani Marley),Farruko,2066,2017-01-13,py,1lxswgIpzV6HhENRvkflES
58,Te Vas,Ozuna,2049,2017-01-13,py,2twUPIYOTqVivev47pf7bU
59,Traicionera - Remix,Sebastian Yatra,2015,2017-01-13,py,2webQDZmtGioeu3zUUi9We
